,l3cache_stress,qos,context_switches,branch_misses,branch_load_misses,ipc,cpu_migrations,page_faults,cache_references,cache_misses,LLC_loads,LLC_load_misses,LLC_stores,LLC_store_misses,L1_dcache_loads,L1_dcache_load_misses,L1_icache_load_misses,dTLB_load_misses,dTLB_loads,dTLB_store_misses,dTLB_stores,iTLB_load_misses,node_load_misses,node_loads
20,21.0,0.9658090937499999,17335.80701754386,28483096.40350877,28480994.333333332,0.9482456140350877,1929.3333333333333,15868.666666666666,534393758.2982456,172468905.82456142,64844167.298245616,15426683.07017544,98620737.07017544,28899448.03508772,7974536566.5438595,467233005.94736844,71466198.45614035,5152954.175438597,7893495342.614035,3161977.245614035,3505578523.8070173,3695454.8421052634,7608229.280701755,7564568.912280702
21,22.0,0.9814756458333332,17330.339285714286,28138791.35714286,28146693.535714287,0.9328571428571427,2295.7678571428573,14827.089285714286,530408746.85714287,173504061.2857143,64332111.696428575,15323602.07142857,97566557.69642857,28785422.39285714,7866351725.660714,462681258.875,72138965.46428572,5128534.625,7819893416.410714,3120780.875,3472455566.982143,3705175.5178571427,7604883.392857143,7516623.517857143
22,23.0,0.9793473894736843,17326.57894736842,28197653.47368421,28206138.807017542,0.9363157894736842,2126.2982456140353,15423.368421052632,533582121.57894737,171322516.9473684,64956840.578947365,15376895.47368421,97833866.96491228,28576259.57894737,7930162960.368421,465166468.45614034,72105368.63157895,5162791.280701755,7913297266.912281,3139345.701754386,3474239786.368421,3677682.7192982454,7596647.736842105,7489439.578947368
23,24.0,0.9912309574468086,17166.070175438595,27999581.684210528,27985428.9122807,0.9315789473684211,2448.4912280701756,14554.280701754386,526259643.71929824,170355600.0877193,63700681.92982456,15422829.56140351,96670001.87719299,28374927.57894737,7849895702.22807,459323464.4035088,71547718.73684211,5105241.771929825,7784887486.824561,3104982.4736842103,3449796588.7017546,3681223.210526316,7588719.719298245,7710515.807017544
24,25.0,0.9926345106382977,17346.01785714286,28015455.10714286,28014852.98214286,0.9275000000000001,2576.3571428571427,15432.32142857143,521025000.125,172643811.98214287,63367595.46428572,15448975.910714285,95303781.28571428,28225852.964285713,7713482000.053572,452736429.9464286,72349680.30357143,5136978.535714285,7756629945.625,3112832.125,3454330841.75,3699137.0178571427,7651969.625,7764988.75
25,26.0,1.0022377127659574,17240.80701754386,27668276.701754387,27654651.719298247,0.9254385964912281,2501.7894736842104,15657.61403508772,527315050.05263156,172517587.24561402,64191353.19298246,15513762.96491228,97144607.3508772,28646231.50877193,7868228055.280702,460640650.71929824,72244139.19298245,5126911.140350877,7756315387.473684,3131007.3859649124,3389223741.6842103,3658189.035087719,7522651.403508772,7560375.824561403
26,27.0,1.0353850333333332,16955.696428571428,27079281.089285713,27080128.76785714,0.9105357142857142,3312.214285714286,14735.732142857143,502829907.96428573,163488637.75,61054216.803571425,14576659.357142856,92599494.96428572,27026734.60714286,7464036474.625,438513313.98214287,70725618.55357143,5012250.785714285,7504617456.892858,3002440.25,3357708099.035714,3612100.0178571427,7335606.642857143,7328637.321428572
27,28.0,1.0026844516129032,17199.526315789473,27649100.789473683,27664510.36842105,0.9284210526315791,2677.9473684210525,15436.350877192983,520693472.5263158,169291720.45614034,63291092.438596494,15189894.315789474,96472408.57894737,28378147.36842105,7817165655.0,457666019.9649123,72412546.59649123,5139302.333333333,7828178193.596491,3153100.5789473685,3438541268.8070173,3670053.6315789474,7575477.333333333,7499516.842105263
28,29.0,1.0199929891304347,17152.196428571428,27534222.75,27543860.30357143,0.9207142857142857,3032.9821428571427,15042.75,512034527.1785714,168623976.55357143,62109652.5,14848589.839285715,93448841.91071428,27618096.089285713,7541213308.571428,441837452.875,71618681.44642857,5050399.392857143,7639333151.714286,3061316.25,3388160126.321429,3660273.660714286,7422743.089285715,7379866.214285715
29,30.0,1.0171993695652173,17177.263157894737,27551735.54385965,27547243.42105263,0.9245614035087718,2840.561403508772,15872.333333333334,517399497.9649123,168577513.50877193,62966625.21052632,15154092.210526315,95598721.80701755,28177586.701754387,7785253481.175439,454306382.7894737,72351469.49122807,5117102.105263158,7737587428.438597,3079385.98245614,3384836059.7719297,3649432.01754386,7514295.070175438,7470164.807017544
